Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,Turkiye,TUR,0.152391149517743,0.077350830193236,0.0627660412092611,0.0609680123777546,0.11107648014244
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,Ukraine,UKR,0,0.366273387584512,0.229686936034046,0.390353886381221,0.271793504024285
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,United Kingdom,GBR,0.00993982084765447,0.00493192733359084,0.00624206486170278,0.00515011993091055,0
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,Slovak Republic,SVK,0,0.343345736106057,0.260242815717853,0.235705893269929,0.205630977226963
Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,Malta,MLT,0,0,0,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 12/04/2025,,,,,,,,
